row_num|song_id|song_name|suggested_cu|issue_type|issue_detail|relevance|rationale
2|244|Sugar Lamb|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
3|244|Sugar Lamb|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
4|244|Sugar Lamb|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
5|244|Sugar Lamb|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
10|147|Kitty Alone|CU#258|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Song content directly explores and names emotional states, building emotional vo...'|primary|Song content directly explores and names emotional states, building emotional vocabulary
11|147|Kitty Alone|CU#127|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Emotion-themed songs encourage reflection on personal feelings and experiences...'|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
13|274|reindeer|CU#127|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Celebration songs encourage gratitude, positive reflection, and community joy...'|primary|Celebration songs encourage gratitude, positive reflection, and community joy
14|274|reindeer|CU#261|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Celebrating together builds community awareness and respect for shared tradition...'|secondary|Celebrating together builds community awareness and respect for shared traditions
15|274|reindeer|CU#263|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Group celebrations foster cooperation, turn-taking, and shared experience...'|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
22|125|Prairie Lullaby|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
23|125|Prairie Lullaby|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
24|125|Prairie Lullaby|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
25|125|Prairie Lullaby|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
26|126|Rock Me Easy|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
27|126|Rock Me Easy|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
28|126|Rock Me Easy|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
29|126|Rock Me Easy|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
30|127|Lullaby, Lullaby|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
31|127|Lullaby, Lullaby|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
32|127|Lullaby, Lullaby|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
33|127|Lullaby, Lullaby|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
34|129|Rockabye  You|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
35|129|Rockabye  You|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
36|129|Rockabye  You|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
37|129|Rockabye  You|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
38|134|Goodnight Ladies|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
39|134|Goodnight Ladies|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
40|134|Goodnight Ladies|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
41|134|Goodnight Ladies|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
44|138|On My Way To Dreamland|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
45|138|On My Way To Dreamland|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
46|138|On My Way To Dreamland|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
47|138|On My Way To Dreamland|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
48|140|Cowgirl's Lullaby|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
49|140|Cowgirl's Lullaby|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
50|140|Cowgirl's Lullaby|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
51|140|Cowgirl's Lullaby|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
52|142|Lavender's Blue|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
53|142|Lavender's Blue|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
54|142|Lavender's Blue|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
55|142|Lavender's Blue|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
56|144|Goodnight Beloved Mine|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
57|144|Goodnight Beloved Mine|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
58|144|Goodnight Beloved Mine|CU#126|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies can be used as a go-to calming strategy during transitions or stress...'|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
59|144|Goodnight Beloved Mine|CU#259|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Soothing melodies help children self-regulate and manage stress...'|secondary|Soothing melodies help children self-regulate and manage stress
60|224|Goes to Sleep|CU#124|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullaby rhythm naturally supports paced breathing and calming self-regulation...'|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
61|224|Goes to Sleep|CU#125|RATIONALE_WEAK|RATIONALE_WEAK: Generic/predictable rationale - 'Lullabies promote body relaxation and present-moment awareness...'|primary|Lullabies promote body relaxation and present-moment awareness
