song_id|song_name|theme|suggested_cu_id|subject|lesson_topic|relevance|teacher_rationale
14|All around the Kitchen|Cultural & Folk, Food & Cooking, Water & Sea|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about water/sea — practice descriptive language
14|All around the Kitchen|Cultural & Folk, Food & Cooking, Water & Sea|CU#256|Science & Nature|Evidence that Earth events can occur quickly or slowly (Gr 2)|secondary|Water/sea song — connects to Earth events
14|All around the Kitchen|Cultural & Folk, Food & Cooking, Water & Sea|CU#257|Science & Nature|Processes that shape the Earth - wind/water changing land (Gr 2)|primary|Water/sea song — connects to water shaping the land
15|Face Tickles|Body Parts|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|primary|Body parts song — connects to body awareness and control
15|Face Tickles|Body Parts|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|secondary|Body parts song — often sung with rhythmic movements
15|Face Tickles|Body Parts|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Body parts song — follows directions to move specific body parts
38|Toe Titley|Body Parts|CU#219|Gross Motor & Movement|Balance and body control (static and moving) (Gr 1-2)|primary|Body parts song — connects to body awareness and control
38|Toe Titley|Body Parts|CU#221|Gross Motor & Movement|Moving to rhythm and tempo (Gr 1-2)|secondary|Body parts song — often sung with rhythmic movements
38|Toe Titley|Body Parts|CU#222|Gross Motor & Movement|Following multi-step movement directions / spatial awareness (Gr 1-2)|secondary|Body parts song — follows directions to move specific body parts
39|Hey Ho Little Fish|Animals|CU#226|Language & Vocabulary|Describe people, places, things, events with relevant details (Gr 1)|secondary|Song about animals — practice describing animals with details
39|Hey Ho Little Fish|Animals|CU#248|Science & Nature|Plant/animal structures that help survival (Gr 1)|primary|Animal song — connects to animal structures and their functions
39|Hey Ho Little Fish|Animals|CU#253|Science & Nature|Habitats and Biodiversity (Gr 2)|secondary|Animal song — connects to where animals live (habitats)
