song_id|issue_type|description|suggested_fix|severity
124|RATIONALE_WEAK|'Hush Little Baby' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
124|RATIONALE_WEAK|'Hush Little Baby' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
128|RATIONALE_WEAK|'Rock a Bye Baby / Sleep Baby Sleep' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
128|RATIONALE_WEAK|'Rock a Bye Baby / Sleep Baby Sleep' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
133|RATIONALE_WEAK|'Baby's Boat' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
133|RATIONALE_WEAK|'Baby's Boat' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
152|RATIONALE_WEAK|'Wee Baby Moon' mapped to CU#209 with a generic rationale that could apply to many songs. Rationale: 'The soothing quality of this song makes it ideal as a transition signal between active and quiet act...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
152|RATIONALE_WEAK|'Wee Baby Moon' mapped to CU#211 with a generic rationale that could apply to many songs. Rationale: 'The calm, predictable nature of this lullaby-style song creates a focused atmosphere that supports i...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
170|RATIONALE_WEAK|'With a Tick and a Tock / My Grandfather Clock' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
183|RATIONALE_WEAK|'Dance to your Daddy' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
183|UNDERLINKED|'Dance to your Daddy' is a dance/gross motor song but missing CU#221 (Moving to rhythm and tempo) which is the most obvious curriculum connection.|Add CU#221 (Moving to rhythm and tempo) as primary mapping|medium
185|RATIONALE_WEAK|'This is the way me father taught me' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Discussing family relationships naturally leads to conversations about getting along with others, sh...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
186|BAD_RELEVANCE|'The Baby Bear Waltz' has CU#261 (Respecting perspectives) marked as primary. This is a lullaby/sleep song — CU#258 (naming emotions) or CU#209 (transition) would be more appropriate as primary for this song type.|Change CU#261 to secondary; promote CU#258 to primary if available, or add CU#258 as primary|medium
186|RATIONALE_WEAK|'The Baby Bear Waltz' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Family songs naturally lead to discussions about how family members work together, share, and resolv...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
201|BAD_RELEVANCE|'Baby Shark' has CU#261 (Respecting perspectives) marked as primary. This is a lullaby/sleep song — CU#258 (naming emotions) or CU#209 (transition) would be more appropriate as primary for this song type.|Change CU#261 to secondary; promote CU#258 to primary if available, or add CU#258 as primary|medium
201|BAD_RELEVANCE|'Baby Shark' has CU#261 (Respecting perspectives) as primary. Baby Shark is a movement/action song — CU#221 (Moving to rhythm) would be a more natural primary fit.|Consider changing CU#261 to secondary and adding CU#221 (Moving to rhythm and tempo) as primary|medium
201|RATIONALE_WEAK|'Baby Shark' mapped to CU#263 with a generic rationale that could apply to many songs. Rationale: 'Family songs naturally lead to discussions about how family members work together, share, and resolv...'|Customize rationale with specific references to this song's lyrics, characters, or actions|medium
