track_name,album,track_number,artist,record_id
 Round and Round the Garden / Knock at the Door ,"Zoom, Zoom Cuddle and Croon",3.0,Kathy Reid-Naiman,231
"1,2, Buckle my shoe",I love to Hear the Sounds,4.0,Kathy Reid-Naiman,287
"1,2,3,4, Jingle at the cottage door",I love to Hear the Sounds,10.0,Kathy Reid-Naiman,293
10 Little Angels,I love to Hear the Sounds,9.0,Kathy Reid-Naiman,292
3 Times around / Alley alley oh,More Tickles and Tunes,15.0,Kathy Reid-Naiman,51
5 Fools in a barrow,Tickles and Tunes,35.0,Kathy Reid-Naiman,35
5 Little Peas / Oats and Beans,Say Hello to the Morning,9.0,Kathy Reid-Naiman,80
5 Little pumpkins,When Its Autumn,14.0,Kathy Reid-Naiman,353
A Chubby Little Snowman/ Voici un bonhomme de neige,It's a Beautiful Day,16.0,Kathy Reid-Naiman,425
A Chubby Little Snowman/ Voici un bonhomme de neige,It's a Beautiful Day,16.0,Kathy Reid-Naiman,491
A Chubby Little Snowman? Voici in ...,Baby's Boat,13.0,Kathy Reid-Naiman,322
A Chubby Little Snowman? Voici in bonhomme de neige,,13.0,Kathy Reid-Naiman,512
A Chubby Little Snowman? Voici in bonhomme de neige,Timeless Tickles and Tunes,13.0,Kathy Reid-Naiman,467
A la claire fontaine,Ça suffit pour s'amuser,,Kathy Reid-Naiman,561
A Monkey and a Hound  / Le singe et le chien,It's a Beautiful Day,11.0,Kathy Reid-Naiman,422
A Monkey and a Hound  / Le singe et le chien,It's a Beautiful Day,11.0,Kathy Reid-Naiman,488
A Smooth Rd to London Town,Baby's Boat,26.0,Kathy Reid-Naiman,335
A Smooth Road,More Tickles and Tunes,10.0,Kathy Reid-Naiman,46
A Trot and a Canter / Matthew Mark /Rickety Rocking Horse,More Tickles and Tunes,26.0,Kathy Reid-Naiman,62
Aikendrum,I love to Hear the Sounds,2.0,Kathy Reid-Naiman,285
Ako Si Legla Spat,Spring is Coming,27.0,Kathy Reid-Naiman,409
Alabama Gals,Here We Go Zodeo,11.0,Kathy Reid-Naiman,444
All around the Kitchen,Tickles and Tunes,14.0,Kathy Reid-Naiman,14
All the little bunnies,More Tickles and Tunes,11.0,Kathy Reid-Naiman,47
All the little ones are sleeping,A Smooth Road to London Town,24.0,Kathy Reid-Naiman,131
Alley Bally,A Smooth Road to London Town,23.0,Kathy Reid-Naiman,130
Almost Day,Sing the Cold Winter Away,14.0,Kathy Reid-Naiman,270
Aubrey's Dreidle,Sing the Cold Winter Away,9.0,Kathy Reid-Naiman,265
Babushka Baio,Sally Go Round the Moon,10.0,Kathy Reid-Naiman,221
Babushka Baio,"Zoom, Zoom Cuddle and Croon",25.0,Kathy Reid-Naiman,253
Baby Shark,Sally Go Round the Sun,23.0,Kathy Reid-Naiman,201
Baby's Boat,A Smooth Road to London Town,26.0,Kathy Reid-Naiman,133
Baby's Boat,Baby's Boat,28.0,Kathy Reid-Naiman,337
Baby-oh!,Tickles and Tunes,28.0,Kathy Reid-Naiman,28
Because it's Spring,Spring is Coming,11.0,Kathy Reid-Naiman,393
Bell Horses,I love to Hear the Sounds,14.0,Kathy Reid-Naiman,297
Big Belly Ben,Sing the Cold Winter Away,11.0,Kathy Reid-Naiman,267
Big Moon Bright Moon,Sally Go Round the Moon,12.0,Kathy Reid-Naiman,223
Bingo Farm,Here We Go Zodeo,19.0,Kathy Reid-Naiman,452
Boom Boom Baby Goes Boom Boom,It's a Beautiful Day,10.0,Kathy Reid-Naiman,421
Boom Boom Baby Goes Boom Boom,It's a Beautiful Day,10.0,Kathy Reid-Naiman,487
Bow Wow Wow,I love to Hear the Sounds,5.0,Kathy Reid-Naiman,288
Brightest and Best,Sing the Cold Winter Away,23.0,Kathy Reid-Naiman,279
Brush your Teeth,When Its Autumn,22.0,Kathy Reid-Naiman,361
Bumble Bee / Around and round the flower,More Tickles and Tunes,6.0,Kathy Reid-Naiman,42
Button It Up,Sally Go Round the Sun,15.0,Kathy Reid-Naiman,193
Button it Up / J’ai des mitaines,It's a Beautiful Day,18 ,Kathy Reid-Naiman,432
Button it Up / J’ai des mitaines,It's a Beautiful Day,18 ,Kathy Reid-Naiman,498
Bye Baby Bye,More Tickles and Tunes,36.0,Kathy Reid-Naiman,71
Bye Baby Bye ,On My Way to Dreamland,16.0,Kathy Reid-Naiman,150
Bye O Baby Bye ,On My Way to Dreamland,12.0,Kathy Reid-Naiman,146
C'est une belle journee,Ça suffit pour s'amuser,,Kathy Reid-Naiman,551
Catch A Falling Star ,On My Way to Dreamland,15.0,Kathy Reid-Naiman,149
Catch her Crow / Way up High in an Apple Tree,More Tickles and Tunes,22.0,Kathy Reid-Naiman,58
Chee chee chaw,Here We Go Zodeo,16.0,Kathy Reid-Naiman,449
Child of God,Sing the Cold Winter Away,21.0,Kathy Reid-Naiman,277
Children Go Where I send thee,Sing the Cold Winter Away,20.0,Kathy Reid-Naiman,276
Chop-Nose Day,More Tickles and Tunes,35.0,Kathy Reid-Naiman,70
Christmas is coming,Sing the Cold Winter Away,13.0,Kathy Reid-Naiman,269
Chubby Little Snowman,Sing the Cold Winter Away,2.0,Kathy Reid-Naiman,258
Circle Of The Sun,A Smooth Road to London Town,1.0,Kathy Reid-Naiman,108
Clap Everybody and Say Hello,Sally Go Round the Sun,4.0,Kathy Reid-Naiman,182
Clap When the Spirit Says Clap,When Its Autumn,23.0,Kathy Reid-Naiman,362
Clap your Hands ,,6.0,Kathy Reid-Naiman,505
Clap your Hands ,Baby's Boat,6.0,Kathy Reid-Naiman,315
Clap your Hands ,Timeless Tickles and Tunes,6.0,Kathy Reid-Naiman,460
Clap Your Hands Clap Your Hands,Tickles and Tunes,6.0,Kathy Reid-Naiman,6
Close your eyes and Dream,Spring is Coming,28.0,Kathy Reid-Naiman,410
Come Look a see,A Smooth Road to London Town,12.0,Kathy Reid-Naiman,119
Come Row The Boat ,On My Way to Dreamland,9.0,Kathy Reid-Naiman,143
Coulter's Candy,Tickles and Tunes,21.0,Kathy Reid-Naiman,21
Cousin Peter,Say Hello to the Morning,4.0,Kathy Reid-Naiman,75
Cowgirl's Lullaby ,On My Way to Dreamland,6.0,Kathy Reid-Naiman,140
Creepy Crawly Spiders,When Its Autumn,20.0,Kathy Reid-Naiman,359
Criss cross Applesauce,Tickles and Tunes,29.0,Kathy Reid-Naiman,29
Crocuses and Scilla,Spring is Coming,5.0,Kathy Reid-Naiman,387
Cup of Tea / Peanut Butter sandwich*-,Tickles and Tunes,27.0,Kathy Reid-Naiman,27
Daffy down Dilly/ 5 Yellow Daffodils,Spring is Coming,3.0,Kathy Reid-Naiman,385
Dance to your Daddy,Sally Go Round the Sun,5.0,Kathy Reid-Naiman,183
Dans la foret lointaine,Ça suffit pour s'amuser,,Kathy Reid-Naiman,560
Dans la forȇt lointaine,It's a Beautiful Day,20.0,Kathy Reid-Naiman,428
Dans la forȇt lointaine,It's a Beautiful Day,20.0,Kathy Reid-Naiman,494
Davy Davy Dumpling,More Tickles and Tunes,8.0,Kathy Reid-Naiman,44
Dig a Little Hole,Spring is Coming,7.0,Kathy Reid-Naiman,389
Dingle Dangle Scarecrow,Tickles and Tunes,31.0,Kathy Reid-Naiman,31
Dirty Bill,More Tickles and Tunes,23.0,Kathy Reid-Naiman,59
Dog in the School,Say Hello to the Morning,26.0,Kathy Reid-Naiman,98
Doigts colles,Ça suffit pour s'amuser,,Kathy Reid-Naiman,547
Douglas Mountain ,On My Way to Dreamland,2.0,Kathy Reid-Naiman,136
Down by the Banks of the Hanky Pank,Sally Go Round the Sun,21.0,Kathy Reid-Naiman,199
Down in the Valley,Say Hello to the Morning,25.0,Kathy Reid-Naiman,97
Down on Grampa's farm ,Sally Go Round the Sun,26.0,Kathy Reid-Naiman,204
Dreams Of Harmony ,On My Way to Dreamland,19.0,Kathy Reid-Naiman,153
Dropped My Hat ,A Smooth Road to London Town,11.0,Kathy Reid-Naiman,118
Ducks in the Millpond,Reaching for the Stars,15.0,Kathy Reid-Naiman,168
Ducks on the Pond,"Zoom, Zoom Cuddle and Croon",2.0,Kathy Reid-Naiman,230
Duke of York,A Smooth Road to London Town,9.0,Kathy Reid-Naiman,116
Duke of York,More Tickles and Tunes,21.0,Kathy Reid-Naiman,57
Edward Loves His Mommy,It's a Beautiful Day,9.0,Kathy Reid-Naiman,420
Edward Loves His Mommy,It's a Beautiful Day,9.0,Kathy Reid-Naiman,486
Everybody knows I love my toes,Sally Go Round the Sun,9.0,Kathy Reid-Naiman,187
Everybody Says,Reaching for the Stars,8.0,Kathy Reid-Naiman,161
Everybody's Sleeping,Sally Go Round the Moon,17.0,Kathy Reid-Naiman,228
Face Tickles,Tickles and Tunes,15.0,Kathy Reid-Naiman,15
Faire de la gomme,Savez-vous planter des choux?,,Kathy Reid-Naiman,541
Fais do do,Savez-vous planter des choux?,,Kathy Reid-Naiman,528
Frotte les deux mains,Ça suffit pour s'amuser,,Kathy Reid-Naiman,546
Gingerbread man,Sing the Cold Winter Away,6.0,Kathy Reid-Naiman,262
Gingerbread Man ,Tickles and Tunes,34.0,Kathy Reid-Naiman,34
Glorious Day,When Its Autumn,2.0,Kathy Reid-Naiman,341
Glory to the Mountain,,23.0,Kathy Reid-Naiman,522
Glory to the Mountain,Baby's Boat,23.0,Kathy Reid-Naiman,332
Glory to the Mountain,Here We Go Zodeo,20.0,Kathy Reid-Naiman,453
Glory to the Mountain,Timeless Tickles and Tunes,23.0,Kathy Reid-Naiman,477
Goes to Sleep,Sally Go Round the Moon,13.0,Kathy Reid-Naiman,224
Going Down the Old Camp Road,Welcome Summer,19.0,Kathy Reid-Naiman,382
Going for a Walk,Reaching for the Stars,2.0,Kathy Reid-Naiman,155
Going to Boston,Here We Go Zodeo,18.0,Kathy Reid-Naiman,451
Goodbye Children,Tickles and Tunes,36.0,Kathy Reid-Naiman,36
Goodbye My Friends,Reaching for the Stars,25.0,Kathy Reid-Naiman,178
Goodnight Beloved Mine ,On My Way to Dreamland,10.0,Kathy Reid-Naiman,144
Goodnight Ladies,A Smooth Road to London Town,27.0,Kathy Reid-Naiman,134
Grampa's farm rhyme,Sally Go Round the Sun,25.0,Kathy Reid-Naiman,203
Gray Squirrel,When Its Autumn,4.0,Kathy Reid-Naiman,343
Great Big Star,Baby's Boat,30.0,Kathy Reid-Naiman,339
Great Big Star ,On My Way to Dreamland,1.0,Kathy Reid-Naiman,135
Halloween counting rhyme,When Its Autumn,12.0,Kathy Reid-Naiman,351
Halloween farm,When Its Autumn,16.0,Kathy Reid-Naiman,355
Harry went to Hampstead,Sally Go Round the Sun,16.0,Kathy Reid-Naiman,194
Head and Thorax,Welcome Summer,14.0,Kathy Reid-Naiman,377
Heigh Ho Halloweens Here,,18.0,Kathy Reid-Naiman,517
Heigh Ho Halloweens Here,Baby's Boat,18.0,Kathy Reid-Naiman,327
Heigh Ho Halloweens Here,Timeless Tickles and Tunes,18.0,Kathy Reid-Naiman,472
Heigh Ho Halloweens Here,When Its Autumn,13.0,Kathy Reid-Naiman,352
Hello Rain,Reaching for the Stars,12.0,Kathy Reid-Naiman,165
"Here goes the rabbit,",Sally Go Round the Sun,12.0,Kathy Reid-Naiman,190
Here is my baby ready for her nap,Spring is Coming,17.0,Kathy Reid-Naiman,399
Here is the Boat,Reaching for the Stars,19.0,Kathy Reid-Naiman,172
Here is the chimney,Sing the Cold Winter Away,16.0,Kathy Reid-Naiman,272
Here is The Little Boy,Say Hello to the Morning,17.0,Kathy Reid-Naiman,89
Here is The Little Boy,"Zoom, Zoom Cuddle and Croon",21.0,Kathy Reid-Naiman,249
Here is the Sea,Sally Go Round the Sun,22.0,Kathy Reid-Naiman,200
Here We Go Zodeo,Here We Go Zodeo,2.0,Kathy Reid-Naiman,435
Here's a Bunny / See The Little Bunny,Say Hello to the Morning,7.0,Kathy Reid-Naiman,78
Here's a Little Teacup,Sally Go Round the Sun,29.0,Kathy Reid-Naiman,207
Hey Ho Little Fish,More Tickles and Tunes,3.0,Kathy Reid-Naiman,39
Higglety Pigglety Pop,I love to Hear the Sounds,7.0,Kathy Reid-Naiman,290
Hippity Hop,Spring is Coming,14.0,Kathy Reid-Naiman,396
Ho Ho Watanay ,Sally Go Round the Moon,16.0,Kathy Reid-Naiman,227
Ho Ho Watanay ,"Zoom, Zoom Cuddle and Croon",23.0,Kathy Reid-Naiman,251
Ho Young Rider,Say Hello to the Morning,32.0,Kathy Reid-Naiman,104
Honest Jack,Welcome Summer,17.0,Kathy Reid-Naiman,380
Hoosen Johnny,Welcome Summer,16.0,Kathy Reid-Naiman,379
"Horsey, Horsey, [Homeward Bound]",A Smooth Road to London Town,6.0,Kathy Reid-Naiman,113
How Go The Ladies,More Tickles and Tunes,14.0,Kathy Reid-Naiman,50
How many miles to Bethlehem ,Sing the Cold Winter Away,19.0,Kathy Reid-Naiman,275
How many miles to London town?,More Tickles and Tunes,28.0,Kathy Reid-Naiman,64
How shall we March,I love to Hear the Sounds,26.0,Kathy Reid-Naiman,309
How'd ja do,Tickles and Tunes,1.0,Kathy Reid-Naiman,1
Humpty Dumpty,Tickles and Tunes,23.0,Kathy Reid-Naiman,23
Hunt The Cows,Here We Go Zodeo,5.0,Kathy Reid-Naiman,438
Hush Little Baby,A Smooth Road to London Town,17.0,Kathy Reid-Naiman,124
Hush Little Baby,"Zoom, Zoom Cuddle and Croon",26.0,Kathy Reid-Naiman,254
I am a Fine Musician,I love to Hear the Sounds,18.0,Kathy Reid-Naiman,301
I had a little piggy,Spring is Coming,10.0,Kathy Reid-Naiman,392
I have a Jack o Lantern,When Its Autumn,9.0,Kathy Reid-Naiman,348
I have a little Dreidle,Sing the Cold Winter Away,10.0,Kathy Reid-Naiman,266
I Have a Little Drum,It's a Beautiful Day,15.0,Kathy Reid-Naiman,424
I Have a Little Drum,It's a Beautiful Day,15.0,Kathy Reid-Naiman,490
I have a little Hammer and I Tap tap tap,I love to Hear the Sounds,6.0,Kathy Reid-Naiman,289
I Have A Little Pony His Name Is Dappled Grey / ,Say Hello to the Morning,13.0,Kathy Reid-Naiman,84
I Hear Thunder/ I see blue skies,Spring is Coming,19.0,Kathy Reid-Naiman,401
I Like To Ride My Horse ,Say Hello to the Morning,12.0,Kathy Reid-Naiman,83
I Like to Rise,,2.0,Kathy Reid-Naiman,501
I Like to Rise,Baby's Boat,2.0,Kathy Reid-Naiman,311
I Like to Rise,Timeless Tickles and Tunes,2.0,Kathy Reid-Naiman,456
I Like to Rise,"Zoom, Zoom Cuddle and Croon",1.0,Kathy Reid-Naiman,229
I Love to Hear the Sounds,,22.0,Kathy Reid-Naiman,521
I Love to Hear the Sounds,Baby's Boat,22.0,Kathy Reid-Naiman,331
I love to Hear the Sounds,I love to Hear the Sounds,1.0,Kathy Reid-Naiman,284
I Love to Hear the Sounds,Timeless Tickles and Tunes,22.0,Kathy Reid-Naiman,476
I see the moon,A Smooth Road to London Town,25.0,Kathy Reid-Naiman,132
I See the Moon,"Zoom, Zoom Cuddle and Croon",24.0,Kathy Reid-Naiman,252
I See The Moon (up over my bed) ,On My Way to Dreamland,14.0,Kathy Reid-Naiman,148
I Shut the Door,When Its Autumn,19.0,Kathy Reid-Naiman,358
I Think You're Wonderful,Sally Go Round the Sun,3.0,Kathy Reid-Naiman,181
I Want Someone To Buy Me A pony,Say Hello to the Morning,13.0,Kathy Reid-Naiman,85
I Want Someone To Buy Me A pony,"Zoom, Zoom Cuddle and Croon",12.0,Kathy Reid-Naiman,240
I Went Down into the Barnyard,Reaching for the Stars,14.0,Kathy Reid-Naiman,167
I'm a Scarecrow Tall,When Its Autumn,17.0,Kathy Reid-Naiman,356
I'm Going to Take a Bath,Welcome Summer,18.0,Kathy Reid-Naiman,381
I'm Going to the Woods,Sally Go Round the Sun,11.0,Kathy Reid-Naiman,189
I'm Passing Out The Sticks / Tap and Stop -,Tickles and Tunes,24.0,Kathy Reid-Naiman,24
I'm tapping on my sticks ,I love to Hear the Sounds,3.0,Kathy Reid-Naiman,286
If I Had A Pony,More Tickles and Tunes,25.0,Kathy Reid-Naiman,61
If I Knew You Were Coming,Say Hello to the Morning,19.0,Kathy Reid-Naiman,91
It's a Beautiful Day,Reaching for the Stars,1.0,Kathy Reid-Naiman,154
It's a Beautiful Day / C’est une belle journée,It's a Beautiful Day,1.0,Kathy Reid-Naiman,413
It's a Beautiful Day / C’est une belle journée,It's a Beautiful Day,1.0,Kathy Reid-Naiman,479
It's Going to be a Long Winter,Sing the Cold Winter Away,3.0,Kathy Reid-Naiman,259
J'ai un manteau,Ça suffit pour s'amuser,,Kathy Reid-Naiman,554
J'aime la galette,Savez-vous planter des choux?,,Kathy Reid-Naiman,524
J'enroule,Savez-vous planter des choux?,,Kathy Reid-Naiman,539
Jack Jingle,More Tickles and Tunes,19.0,Kathy Reid-Naiman,55
Jack's House,,5.0,Kathy Reid-Naiman,504
Jack's House,Baby's Boat,5.0,Kathy Reid-Naiman,314
Jack's House,Reaching for the Stars,5.0,Kathy Reid-Naiman,158
Jack's House,Timeless Tickles and Tunes,5.0,Kathy Reid-Naiman,459
Jack-O-Lantern,When Its Autumn,10.0,Kathy Reid-Naiman,349
Jarvis to Port Dover,Reaching for the Stars,3.0,Kathy Reid-Naiman,156
Jarvis to Port Dover,Sally Go Round the Sun,20.0,Kathy Reid-Naiman,198
Je berce mon bebe,Ça suffit pour s'amuser,,Kathy Reid-Naiman,548
Je ferme la porte,Ça suffit pour s'amuser,,Kathy Reid-Naiman,559
Jean Petit qui danse,It's a Beautiful Day,8.0,Kathy Reid-Naiman,419
Jean Petit qui danse,It's a Beautiful Day,8.0,Kathy Reid-Naiman,485
Jean Petit qui danse,Ça suffit pour s'amuser,,Kathy Reid-Naiman,557
Jenny Jones,Here We Go Zodeo,8.0,Kathy Reid-Naiman,441
Jeremiah Blow the Fire,Say Hello to the Morning,15.0,Kathy Reid-Naiman,87
Jim along Josie,More Tickles and Tunes,30.0,Kathy Reid-Naiman,66
Johnny Porkpie,Spring is Coming,15.0,Kathy Reid-Naiman,397
Johnny's Hammers,Tickles and Tunes,4.0,Kathy Reid-Naiman,4
Jubilee,Say Hello to the Morning,30.0,Kathy Reid-Naiman,102
Jump Jim Joe,Here We Go Zodeo,1.0,Kathy Reid-Naiman,434
Kangaroo Brown ,Say Hello to the Morning,29.0,Kathy Reid-Naiman,101
Keeper of the Bees,,20.0,Kathy Reid-Naiman,519
Keeper of the Bees,Baby's Boat,20.0,Kathy Reid-Naiman,329
Keeper of the Bees,Timeless Tickles and Tunes,20.0,Kathy Reid-Naiman,474
Kitty Alone ,On My Way to Dreamland,13.0,Kathy Reid-Naiman,147
Knee tickles,Tickles and Tunes,30.0,Kathy Reid-Naiman,30
Knees Up Mary Muffet ,Say Hello to the Morning,14.0,Kathy Reid-Naiman,86
La Bastringue,Here We Go Zodeo,21.0,Kathy Reid-Naiman,454
La laine des moutons,Savez-vous planter des choux?,,Kathy Reid-Naiman,536
Land of Silver Birch,Sally Go Round the Moon,9.0,Kathy Reid-Naiman,220
Lavender's Blue ,On My Way to Dreamland,8.0,Kathy Reid-Naiman,142
