row_num|song_id|song_name|theme|suggested_cu_id|subject|lesson_topic|relevance|teacher_rationale
|244|Sugar Lamb|Animals, Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|244|Sugar Lamb|Animals, Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|244|Sugar Lamb|Animals, Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|244|Sugar Lamb|Animals, Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|355|Halloween farm|Animals, Farm, Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|primary|Halloween characters and settings (jack-o-lantern, costumes, haunted house) build narrative comprehension
|355|Halloween farm|Animals, Farm, Holidays & Celebrations|CU#186|Literacy & Phonics — Reading Comprehension|Ask and answer questions about key details|secondary|Describing Halloween objects encourages questioning and detail recall
|355|Halloween farm|Animals, Farm, Holidays & Celebrations|CU#76|Literacy & Phonics — Speaking & Listening|Tell a story or recount an experience with facts and descriptive details|secondary|Recounting Halloween experiences develops narrative language and sequencing skills
|355|Halloween farm|Animals, Farm, Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Halloween traditions encourage gratitude and community participation
|147|Kitty Alone|Animals, Feelings & Emotions|CU#258|SEL|Identifying and naming a range of emotions|primary|Song content directly explores and names emotional states, building emotional vocabulary
|147|Kitty Alone|Animals, Feelings & Emotions|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Emotion-themed songs encourage reflection on personal feelings and experiences
|147|Kitty Alone|Animals, Feelings & Emotions|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Understanding a lonely animal's feelings builds empathy and perspective-taking
|274|reindeer|Animals, Holidays & Celebrations|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|primary|Celebration songs encourage gratitude, positive reflection, and community joy
|274|reindeer|Animals, Holidays & Celebrations|CU#261|SEL|Recognizing and respecting others' perspectives|secondary|Celebrating together builds community awareness and respect for shared traditions
|274|reindeer|Animals, Holidays & Celebrations|CU#263|SEL|Working cooperatively and resolving simple conflicts|secondary|Group celebrations foster cooperation, turn-taking, and shared experience
|274|reindeer|Animals, Holidays & Celebrations|CU#185|Literacy & Phonics — Reading Comprehension|Identify characters, settings, major events|primary|Reindeer as holiday character builds narrative comprehension of holiday traditions
|274|reindeer|Animals, Holidays & Celebrations|CU#70|Literacy & Phonics — Speaking & Listening|Describe people, places, things, events with relevant details|secondary|Describing reindeer features and holiday role develops descriptive language skills
|395|Where are the Froggies?|Animals, Numbers & Counting|CU#11|Math & Numeracy|Count to 50 starting at any number; read and write numbers to 50 (Gr 1)|primary|Counting frogs in various positions reinforces number sequence and positional language
|395|Where are the Froggies?|Animals, Numbers & Counting|CU#24|Math & Numeracy|Represent and interpret data with up to 3 categories (Gr 1)|secondary|Tracking frog locations (pond, lily pad, bank) supports basic data collection
|239|Shoo Fly|Animals, Routines & Social Skills|CU#209|Classroom Routine & Approaches to Learning|Transitioning between activities/subjects|primary|Transition song helps children shift focus and prepare for next activity or subject
|239|Shoo Fly|Animals, Routines & Social Skills|CU#210|Classroom Routine & Approaches to Learning|Following 2-3 step verbal directions|secondary|Song lyrics with action cues practice following multi-step directions
|125|Prairie Lullaby|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|125|Prairie Lullaby|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|125|Prairie Lullaby|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|125|Prairie Lullaby|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|126|Rock Me Easy|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|126|Rock Me Easy|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|126|Rock Me Easy|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|126|Rock Me Easy|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|127|Lullaby, Lullaby|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|127|Lullaby, Lullaby|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|127|Lullaby, Lullaby|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|127|Lullaby, Lullaby|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|129|Rockabye  You|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|129|Rockabye  You|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|129|Rockabye  You|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|129|Rockabye  You|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|134|Goodnight Ladies|Bedtime & Lullaby|CU#124|Literacy & Phonics — Self-Regulation Practice|Guided breathing / breath counting|primary|Lullaby rhythm naturally supports paced breathing and calming self-regulation
|134|Goodnight Ladies|Bedtime & Lullaby|CU#125|Literacy & Phonics — Self-Regulation Practice|Simple mindfulness / body-scan awareness|primary|Lullabies promote body relaxation and present-moment awareness
|134|Goodnight Ladies|Bedtime & Lullaby|CU#126|Literacy & Phonics — Self-Regulation Practice|"Self-selected calming strategy (""calm corner"" routine)"|secondary|Lullabies can be used as a go-to calming strategy during transitions or stress
|134|Goodnight Ladies|Bedtime & Lullaby|CU#259|SEL|Using strategies to manage stress and impulses (breathing, calm-down)|secondary|Soothing melodies help children self-regulate and manage stress
|134|Goodnight Ladies|Bedtime & Lullaby|CU#127|Literacy & Phonics — Self-Regulation Practice|Reflection / gratitude practice|secondary|Saying goodnight to each person encourages reflection on the day and gratitude
