song_id|song_name|theme|suggested_cu_id|subject|lesson_topic|relevance|teacher_rationale
415|Mon petit lapin a bien du chagrin|Animals, Cultural & Folk|223|Language & Vocabulary|Participate in collaborative conversations (Gr 1)|primary|This French folk song introduces children to a second language through music, building cross-cultural awareness and early language skills. The repetitive lyrics and melody make it accessible for young learners. Use during multicultural units or French language exposure activities - sing along with hand motions to support comprehension.
415|Mon petit lapin a bien du chagrin|Animals, Cultural & Folk|224|Language & Vocabulary|Ask and answer questions about key details (Gr 1)|secondary|"Teachers can ask questions about the French vocabulary in the song (e.g., ""What animal is this? What color is mentioned?""), building comprehension through question-and-answer routines. Use picture cards to support understanding of the French lyrics."
415|Mon petit lapin a bien du chagrin|Animals, Cultural & Folk|228|Language & Vocabulary|Produce complete sentences when appropriate (Gr 1)|secondary|"After learning the song, children can practice producing complete sentences about the song content in either French or English. Teachers can model simple sentences like ""The song is about a rabbit"" and encourage children to respond in full sentences."
415|Mon petit lapin a bien du chagrin|Animals, Cultural & Folk|261|SEL|Recognizing and respecting others' perspectives (Gr 1-2)|secondary|Learning a song from French Canadian culture builds respect for diversity and different cultural traditions. Discuss how children in French-speaking communities sing the same songs, helping children recognize and appreciate different perspectives and cultural practices.
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|261|SEL|Recognizing and respecting others' perspectives (Gr 1-2)|primary|This family-themed song celebrates the important people in children's lives. Singing about families helps children recognize that all families are unique and worthy of respect. Use during community-building circles - invite children to share something special about their family after singing.
99|The Baby Bear Waltz|Animals, Dance & Movement, Family|263|SEL|Working cooperatively and resolving simple conflicts (Gr 1-2)|secondary|Family songs naturally lead to discussions about how family members work together, share, and resolve conflicts. Teachers can connect these discussions to classroom cooperation skills, helping children transfer prosocial behaviors from home to school.
186|The Baby Bear Waltz|Animals, Family|261|SEL|Recognizing and respecting others' perspectives (Gr 1-2)|primary|This family-themed song celebrates the important people in children's lives. Singing about families helps children recognize that all families are unique and worthy of respect. Use during community-building circles - invite children to share something special about their family after singing.
186|The Baby Bear Waltz|Animals, Family|263|SEL|Working cooperatively and resolving simple conflicts (Gr 1-2)|secondary|Family songs naturally lead to discussions about how family members work together, share, and resolve conflicts. Teachers can connect these discussions to classroom cooperation skills, helping children transfer prosocial behaviors from home to school.
201|Baby Shark|Animals, Family|261|SEL|Recognizing and respecting others' perspectives (Gr 1-2)|primary|This family-themed song celebrates the important people in children's lives. Singing about families helps children recognize that all families are unique and worthy of respect. Use during community-building circles - invite children to share something special about their family after singing.
201|Baby Shark|Animals, Family|263|SEL|Working cooperatively and resolving simple conflicts (Gr 1-2)|secondary|Family songs naturally lead to discussions about how family members work together, share, and resolve conflicts. Teachers can connect these discussions to classroom cooperation skills, helping children transfer prosocial behaviors from home to school.
