issue_id|song_id|song_name|suggested_cu_id|issue_type|description|fix_action
1|14|All around the Kitchen|CU#226|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
2|14|All around the Kitchen|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
3|14|All around the Kitchen|CU#256|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
4|14|All around the Kitchen|CU#257|UNDERLINKED|3 themes but only 3 CU(s)|Add more mappings for uncovered themes
5|15|Face Tickles|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
6|15|Face Tickles|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
7|15|Face Tickles|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
8|38|Toe Titley|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
9|38|Toe Titley|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
10|38|Toe Titley|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
11|39|Hey Ho Little Fish|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
12|39|Hey Ho Little Fish|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
13|55|Jack Jingle|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
14|55|Jack Jingle|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
15|58|Catch her Crow / Way up High in an Apple Tree|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
16|60|On my Toe there is a flea|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
17|60|On my Toe there is a flea|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
18|60|On my Toe there is a flea|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
19|68|Walk Daniel|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
20|68|Walk Daniel|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
21|68|Walk Daniel|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
22|68|Walk Daniel|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
23|70|Chop-Nose Day|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
24|70|Chop-Nose Day|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
25|70|Chop-Nose Day|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
26|73|See saw Marjorie Daw / See Saw Sacradown|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
27|73|See saw Marjorie Daw / See Saw Sacradown|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
28|73|See saw Marjorie Daw / See Saw Sacradown|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
29|77|My Pony Boy|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
30|77|My Pony Boy|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
31|86|Knees Up Mary Muffet|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
32|86|Knees Up Mary Muffet|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
33|86|Knees Up Mary Muffet|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
34|88|The Train Wheels are Rolling|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
35|89|Here is The Little Boy|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
36|92|There Was a Little Mouse/ Mouse and Cheese / Little mice go creeping|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
37|94|One Cold and Frosty Morning|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
38|95|This little boy found an egg,|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
39|95|This little boy found an egg,|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
40|99|The Baby Bear Waltz|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
41|99|The Baby Bear Waltz|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
42|99|The Baby Bear Waltz|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
43|99|The Baby Bear Waltz|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
44|101|Kangaroo Brown|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
45|101|Kangaroo Brown|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
46|102|Jubilee|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
47|102|Jubilee|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
48|102|Jubilee|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
49|104|Ho Young Rider|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
50|104|Ho Young Rider|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
51|107|Train is A'leaving|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
52|114|Pretty Painted butterfly|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
53|115|She Didn't Dance, Dance, Dance|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
54|115|She Didn't Dance, Dance, Dance|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
55|117|Sailing Sailing Over the Ocean|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
56|120|Rags the Dog|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
57|120|Rags the Dog|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
58|122|Watch the Stars See How They Run|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
59|122|Watch the Stars See How They Run|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
60|122|Watch the Stars See How They Run|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
61|133|Baby's Boat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
62|139|My Pigeon Coop|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
63|141|Little Lap Dog|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
64|141|Little Lap Dog|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
65|143|Come Row The Boat|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
66|145|Turn Around|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
67|145|Turn Around|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
68|145|Turn Around|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
69|147|Kitty Alone|CU#226|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#226|Add song-specific details
70|147|Kitty Alone|CU#248|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#248|Add song-specific details
71|153|Dreams Of Harmony|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
72|153|Dreams Of Harmony|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
73|155|Going for a Walk|CU#218|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#218|Add song-specific details
74|155|Going for a Walk|CU#219|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#219|Add song-specific details
75|155|Going for a Walk|CU#222|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#222|Add song-specific details
76|159|Truck Song|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
77|159|Truck Song|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
78|160|We're tapping, ringing, shaking|CU#210|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#210|Add song-specific details
79|160|We're tapping, ringing, shaking|CU#221|RATIONALE_WEAK|Completely generic template — no song-specific reference for CU#221|Add song-specific details
